document_title	date	issue_name_from_titles	cluster_id	category
"영세기업은 퇴직연금 수익률도 낮았다…""고수익 상품, 주요 기업에만 제안"""	20250831	보이스피싱 및 금융사 배상책임 강화	28	경제 일반
‘대주주 기준 50억’ 與 이소영 “9월 초엔 결론…늦어지면 환영 못 받아”	20250831	주식 양도세 대주주 기준 논란	40	경제 일반
알리바바도 ‘자체 칩’ 개발…중국 ‘AI 기술 자립’ 현실로	20250831	반도체 산업 경쟁과 AI 기술 발전	19	경제 일반
美, 삼성ㆍSK에만 ‘中 장비 반입 금지’...“미중 양자택일 압박”	20250831	반도체 산업 경쟁과 AI 기술 발전	19	경제 일반
제주의 맛	20250831	K-라이프스타일 트렌드 (홍보 클러스터)	15	경제 일반
전통 가마솥	20250831	K-라이프스타일 트렌드 (홍보 클러스터)	15	경제 일반
부산의 맛	20250831	K-라이프스타일 트렌드 (홍보 클러스터)	15	경제 일반
한국의 주류	20250831	K-라이프스타일 트렌드 (홍보 클러스터)	15	경제 일반
한국의 맛	20250831	K-라이프스타일 트렌드 (홍보 클러스터)	15	경제 일반
1일부터 저축은행도 예금 보호한도 1억된다	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
7월 2.2조→8월 4.2조…가계대출 증가액 다시 커져	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
"내일부터 예금자보호한도 1억원 …""머니무브 작동 키는 금리 차"""	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
5대 은행 대출-예금 금리차 1%p 넘게 올라...‘이자 장사’ 점입가경	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
8월 가계대출 증가액 4조 원대…신용대출 늘어	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
이달 가계대출 4조원대 증가…6·27 대책 후속 규제 가능성	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
내일부터 예금보호한도 24년 만에 1억 원으로 상향	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
‘이자 장사’ 여전… 예대금리차 역대 최대치	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
9월 1일부터 1억까지 예금 보호… ‘머니 무브’ 촉각	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
퇴직연금, 스스로 지키는 방법은?…“‘만기 재예치’ 대신 적극 비교 필요”	20250831	보이스피싱 및 금융사 배상책임 강화	28	경제 일반
"내 퇴직연금 지키려면…""만기재예치 말고 적극 상품비교해야"""	20250831	보이스피싱 및 금융사 배상책임 강화	28	경제 일반
미완의 관세협상…미국, '자동차 볼모'로 압력 지속하나	20250831	한미 관세 협상 및 대미 투자	17	경제 일반
서울시, 9월 30일까지 불법사금융 피해 집중 신고기간 운영	20250831	보이스피싱 및 금융사 배상책임 강화	28	경제 일반
李대통령, 타운홀미팅 재개…'신성장·민생경제·K제조업' 총력전	20250831	한미 관세 협상 및 대미 투자	17	경제 일반
"기업 10곳 중 5곳 ""고령자 재고용시 적정임금은 퇴직 전 70~80%"""	20250831	고령화와 고용시장 변화	6	경제 일반
“국내 기업의 61%, 법정 정년 60세 이후 ‘재고용’ 방식 선호”	20250831	고령화와 고용시장 변화	6	경제 일반
정부 ‘정년 연장’ 추진...재계 “60세 이상 근로자 재고용 선호”	20250831	고령화와 고용시장 변화	6	경제 일반
기업 61% “정년 넘긴 근로자 고용한다면 ‘재고용’ 방식 선호”	20250831	고령화와 고용시장 변화	6	경제 일반
이재명정부 ‘정년 연장’ 선언…경영계 “조기퇴직 확산 부작용” 우려	20250831	고령화와 고용시장 변화	6	경제 일반
기업 선호 고령자 고용 ‘재고용’이 61%, ‘정년 연장’은 333%	20250831	고령화와 고용시장 변화	6	경제 일반
[게시판] 코트라, 내달 전국 '통상환경 대응 설명회' 연속 개최	20250831	한미 관세 협상 및 대미 투자	17	경제 일반
상생금융 압박에 … 車보험사 절반 적자	20250831	보험료 인상 및 보험사기 문제	26	경제 일반
'코스닥 1등' 알테오젠의 코스피行 약일까 독일까	20250831	코스피 변동성 및 세제 개편 영향	41	경제 일반
15% 약속 한 달 지나도록 내릴 기미없는 자동차 관세 '먹구름'	20250831	한미 관세 협상 및 대미 투자	17	경제 일반
현대건설, 우수 협력사 소장 27명에게 1억 4000만원 포상	20250831	중대재해 및 산업안전 강화 정책	30	경제 일반
'기술력 있는데…' 자금난 겪는 혁신기업, 최대 3억 보증된다	20250831	중대재해 및 산업안전 강화 정책	30	경제 일반
역대 최대 R&D 예산에도 기초연구 비중은 뒷걸음	20250831	AI 대전환 및 초혁신 경제 전략	43	경제 일반
AI에 10조 쏟아 ‘제조업 시너지’ 집중	20250831	AI 대전환 및 초혁신 경제 전략	43	경제 일반
“복고풍 삼각 커피 우유가 컵 커피로” 편의점 복고 히트아이템은 ‘이것’	20250831	식품업계 레트로 열풍 (홍보 클러스터)	51	경제 일반
"유통업계 '저가 전쟁' ""무조건 5천 원 이하로""‥왜?"	20250831	식품업계 레트로 열풍 (홍보 클러스터)	51	경제 일반
'이자 놀이' 경고에도 더 커진 예대금리차 … KB는 공시 이래 최대	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
저축은행 예금보호 상향 '독' 될까…신평사들, 리스크 주시	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
李 대통령 “이자놀이” 비판에도…은행권 예대 금리차 점점 커진다	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
내일부터 예금보호한도 5천만 원→1억 원	20250831	예금자보호한도 상향 및 가계대출 증가	24	경제 일반
“월4만6000원 국민연금 지원, 어! 나도 되네”…내년부터 지원 대상자 확대 [언제까지 직장인]	20250831	복지 및 생활비 지원 정책 확대	34	경제 일반
5년 뒤 나라빚 1800조 원…교육교부금·의무지출 등 구조개혁은 지지부진	20250831	복지 및 생활비 지원 정책 확대	34	경제 일반
아동수당 지역별로 10만~13만원…지방 우대 원칙 도입	20250831	복지 및 생활비 지원 정책 확대	34	경제 일반
"""2029년 아동수당 11세까지 확대…K-패스 가입자 500만 달성"""	20250831	복지 및 생활비 지원 정책 확대	34	경제 일반
[연합뉴스 이 시각 헤드라인] - 10:30	20250831	복지 및 생활비 지원 정책 확대	34	경제 일반
호반건설, 서울 양천구 신월동 144-20번지 가로주택정비사업 수주	20250831	지역개발 및 인프라 투자 확대	45	경제 일반
낡은 부산항 항만시설, 여가 공간으로 재정비	20250831	지역개발 및 인프라 투자 확대	45	경제 일반
제주 풍력발전 관제센터, 두산윈드파워센터로 확대 이전	20250831	지역개발 및 인프라 투자 확대	45	경제 일반
‘풍력발전 거점’ 두산윈드파워센터 개소	20250831	지역개발 및 인프라 투자 확대	45	경제 일반
‘용문-홍천’ 국정과제 반영…기대감 고조	20250831	지역개발 및 인프라 투자 확대	45	경제 일반
