TITLE	PUBLISHER	REG_DATE
가계부채 연착륙 종합대책	금융위원회 금융서비스국 중소금융과	20110629
예산업무의 전산화  계획	경제기획원 	19920314
외환시장 중장기 발전방향	재정경제부 국제금융국 외화자금과	20020416
2014년 물가안정대책	기획재정부 경제정책국 물가정책과	20140110
총사업비 관리제도 개정:  대형투자사업의 총사업비 관리제도 개선방안	기획예산처 예산관리국 투자관리과 	19990812
2004년도 총사업비 관리지침: 총사업비 관리제도 개선	기획예산처 예산관리국 투자관리과	20040325
&#39;06~&#39;10년 국가재정운용계획	기획예산처 정책홍보관리실 홍보관리관실	20060927
금융소비자에게 유익한 정보제공 확대방안	금융감독원 금융혁신국	20160719
대규모 공공건설공사에 공사예비비 제도 도입 및 타당성 재검증 강화	기획예산처 예산관리국 투자관리과 	20050430
예산성과금 활성화 방안	기획재정부 재정관리국 재정집행관리팀	20161016
2006년도 총사업비 관리지침 개정: 대규모 투자사업 수요예측 재검증 제도 도입	기획예산처 성과관리본부 총사업비 관리팀	20060513
총사업비 관리지침 개정:   공공부문 예산절감을 위한 총사업비 관리 강화	기획예산처 재정정책국 재정정책관리과	20080722
총사업비 관리지침 개정:  부실설계·감리에 대한 제재 강화	기획재정부 재정정책국 재정사업평가과	20091214
정당한 보험금 지급관행 확립방안	금융감독원 보험감독국 보험총괄팀	20150604
총사업비 관리지침 개정 : 적정 토지보상을 위한 사전 표본평가제도 도입 등	기획재정부 예산실 총사업비관리과	20131025
총사업비 관리지침 개정:  계획설계에 대한 설계적정성 검토 의무화	기획재정부 예산실 총사업비관리과	20150428
 총사업비 관리지침 개정:  연구기반구축R&D사업 관리 강화	기획재정부 예산실 총사업비관리과 	20160707
&#39;07~&#39;11년 국가재정운용계획	기획예산처 재정운용실 재정총괄과	20070920
해외 원화환전 편의 제고	재정경제부 국제금융국 외환제도과	20010908
전자금융거래시 금융소비자 편의성 제고방안	금융감독원 금융혁신국	20160812
&#39;08~&#39;12년 국가재정운용계획	기획재정부 재정정책국 재정정책과	20080924
지방자치단체에 대한 국고보조금 지원제도 개선	경제기획원 예산실 재정계획과	19940413
지방자치단체 국고보조금 지원제도 개선	재정경제원 예산실 재정계획과	19970113
2007년도  예산·기금 집행지침	기획예산처 재정운용실 재정기준과	20070122
여신관련 불합리한 관행 개선 및 소비자 불편 해소 방안	금융감독원 은행감독국	20160527
공공기관 기능조정 방안: 에너지, 환경, 교육 분야	기획재정부 공공정책국 정책총괄과	20160614
공공기관 성과연봉제 확대추진	기획재정부 공공정책국 제도기획과	20160128
2010년도 예산 및 기금운용계획 집행지침	기획재정부 예산실 예산기준과	20100104
&#39;09~&#39;13년 국가재정운용계획	기획재정부 재정정책국 재정정책과	20090928
2011년도 예산 및 기금운용계획 집행지침	기획재정부 예산실 예산기준과 	20101230
2012년도 예산 및 기금운용계획 집행지침	기획재정부 예산실 예산기준과	20120113
2015년도 예산 및 기금운용계획 집행지침	기획재정부 예산실 예산기준과	20150119
2016년도 예산 및 기금운용계획 집행지침	기획재정부 예산실 예산기준과	20160119
1993년도 세출예산 집행관리지침	경제기획원 예산실 예산기준과 	19930129
1993년도 세출예산의 각 부처 자율적 집행을 확대하기 위한 제도개선	경제기획원 예산실 예산기준과	19930211
1994년도 세출예산 집행지침	경제기획원 예산실 예산기준과	19940117
1995년도 세출예산 집행지침	재정경제원 예산실 예산총괄과	19950119
1996년도 세출예산 집행지침	재정경제원 예산실 예산기준과	19960119
1997년도 세출예산 집행지침	재정경제원 예산기준과	19970117
1999년도 세출예산 집행지침	예산청	19990127
2001년도 세출예산 집행지침:  공공부문 개혁과 예산연계 및 연구비 카드제 도입 등	기획예산처 예산실 예산기준과 	20010201
&#39;10~&#39;14년 국가재정운용계획	기획재정부 재정정책국 재정정책과	20100927
예산회계제도 개선방안	 재정경제원 예산실 예산제도과 	19950401
&#39;11~&#39;15년 국가재정운용계획	기획재정부 재정정책국 재정정책과	20110927
&#39;12~&#39;16년 국가재정운용계획	기획재정부 예산실 예산정책과	20120905
금융규제 개혁 추진방안	금융위원회 금융정책국 금융정책과	20080424
&#39;13~&#39;17년 국가재정운용계획	기획재정부 예산실 예산총괄과	20130926
&#39;14~&#39;18년 국가재정운용계획	기획재정부 예산실 예산총괄과	20140918
제1단계 제로베이스 금융규제 개혁방안	금융위원회 금융정책국 금융정책과	20051121
&#39;15~&#39;19년 국가재정운용계획	기획재정부 예산실 예산총괄과	20150904
건강한 사람을 위한 보험료 할인특약 가입 활성화 방안	금융감독원 보험감리실 보험상품감리1팀	20170412
제2단계 제로베이스 금융규제 개혁방안	금융위원회 금융정책국 금융정책과	20060213
외환거래 관련 국민 편의성 제고방안	금융감독원 외환감독국 외환총괄팀	20160825
&#39;16~&#39;20년 국가재정운용계획	기획재정부 재정기획국 재정기획총괄과	20160902
1993년 예산절약 집행계획	경제기획원 예산실 예산총괄과	19930324
1~ 2차 공기업 민영화 계획	기획예산위원회 정부개혁실 공공관리단	19980704
신경제 5개년 세제개혁 추진계획	재무부 세제실 조세정책과	19930527
정부공사의 낙찰자 결정방법 개선&#40;최저가낙찰제 도입&#41;	재무부 국고국 회계제도과	19930212
2006년 공공기관 경영혁신 추진지침 	기획예산처 공공혁신기획팀	20060313
100억원 이상의 공사에 대해 적격심사낙찰제 도입 및 발주제도 개선	재정경제원 국고국 회계총괄과 	19950410
정부계약제도 종합개선방안	재정경제부 국고국 회계제도과	19990414
공공기관 글로벌 역량 강화 방안	기획재정부 공공정책국 정책총괄과	20121010
정부시설공사 입찰제도 대폭 개선&#40;건설산업 구조개선 방안&#41;	조달청	20000529
부동산양도신고제를 국민편의 위주로 집행하기 위한 세정대책	국세청 재산세국 재산세1과	19961101
정부공사 입찰제도 개선	재정경제부 국고국 	20030716
공공기관 해외진출 활성화 전략	재정경제부 경제정책국 종합정책과	20080108
지역제한입찰한도액 상향조정등 정부계약제도 개선	재무부 국고국 회계제도과 	19920310
2016년 중장기 조세정책 운용계획	기획재정부 세제실 조세분석과	20160830
기술개발촉진을 위한 정부회계제도 개선	재무부 국고국 회계제도과 	19920403
도로굴착관련공사 일괄계약제도 추진	재무부 국고국 회계제도과 	19920723
2015년 중장기 조세정책 운용계획	기획재정부 세제실 조세분석과	20150911
제2단계 외환자유화 추진방안 및 보완대책	재정경제부 국제금융국 국제금융과	20001019
2014년 중장기 조세정책 운용계획	기획재정부 세제실 조세분석과	20140919
정부계약시 예정가격 작성방법의 개선	재무부 국제금융국 외환정책과	19940625
조달청, 정부 발주공사 설계서를 CD-ROM으로 개선	조달청	19960626
정부보관금 보관방법 개선	재정경제원 국고국 회계총괄과 	19970811
전자조달 활성화 추진계획	재정경제부 국고국 회계제도과 	19990427
G2B&#40;정부전자조달&#41; 시스템 구축	G2B 활성화 추진단 	20020123
중소기업의 자금사정을 돕기 위한 선금지급비율 상향 조정	재무부 국고국 회계제도과 	19930824
정부원가계산제도 및 종합낙찰제도의 개선	재무부 국고국 회계제도과	19930408
공사입찰에 있어 낙찰자 선정후 예정가격 공개	재무부 국고국 회계제도과	19940225
건설공사 기성대가 지급시기 단축 및 절차 간소화 등 정부계약제도 일부 개정	재정경제원 국고국 회계총괄과	19951110
&#39;93년 재정운용 기본방향	경제기획원	19920320
건설업계의 자금부담 경감 등을 위한 정부계약 제도 개선 추진	재정경제원 국고국 회계총괄과 	19970811
생활밀착형 보험 관련 불합리한 관행 개선	금융감독원 금융혁신국	20160329
정부조달행정의 자율성제고 및 절차간소화 추진	재정경제부 국고국 회계제도과	19980520
정부조달의 효율성제고 및 기업구조조정지원 등을 위한 정부계약제도 개선 추진	재정경제부 국고국 회계제도과	19990105
현금영수증제도 본격 시행	기획예산처 예산실 예산제도과	20050106
공공부문 블라인드 채용 추진방안	고용노동부 직업능력정책국 직업능력평가과 	20170706
고객중심 조달서비스 혁신 추진	조달청	20000317
경제구조조정과 성장잠재력 유지를 위한 &#39;98~&#39;99년 재정운용방향	기획예산위원회 재정기획국 재정기획과	19980708
국내최초 전자입찰 운영 개시	조달청	20001103
중소기업 자금애로 타개를 위한 특별지원책  마련	조달청	20000927
조달청, LME창고 국내유치 성공	조달청	20011120
원자재 가격 급등에 따른 국가계약관련 대책 마련·시행	재정경제부 국고국 회계제도과	20040309
참여정부 조달업무 개혁방안	조달청	20030313
소득분배 개선을 위한 세제개혁	재정경제부 세제실 조세정책과	19990817
다수공급자 계약제도&#40;MAS&#41; 등 조달제도개선 추진	재정경제부 국고국 회계제도과	20041211
경영상태 평가지표 다원화 및 턴키입찰시 PQ항목 점수 비중 축소	재정경제부 국고국 회계제도과	20020316
최근 경제동향과 &#39;03년도 재정운용방향	기획예산처 기획관리실	20021016
투명성 제고 등을 위한 정부계약제도 개선 추진	재정경제부 국고국 회계제도과	20050511
