title	date	dept	dept_top
대외경제장관회의: 미국 행정부 관세정책에 따른 관세행정 대응 전략 등	2025.04.11	기획재정부 대외경제국 대외경제총괄과	기획재정부
금융소비자보호 실태평가 제도 개선	2025.04.10	금융감독원 금융소비자보호총괄국 소비자보호점검팀	금융감독원
증권업 기업금융 경쟁력 제고방안	2025.04.09	금융위원회 자본시장국 자본시장과	금융위원회
경제관계장관회의 겸 산업경쟁력강화관계장관회의: 통상환경 변화 대응을 위한 향후 정책방향 등	2025.04.09	기획재정부 정책조정국 정책조정총괄과	기획재정부
자동차 생태계 강화를 위한 긴급 대응대책	2025.04.09	산업통상자원부 산업정책실 제조산업정책관 자동차과	산업통상자원부
중소형 상장사 XBRL 주석 재무공시 연착륙 방안	2025.04.08	금융감독원 기업공시국 전자공시팀	금융감독원
2025년도 통신서비스 품질평가 추진계획	2025.04.07	과학기술정보통신부 통신정책관 통신자원정책과	과학기술정보통신부
이산화탄소 포집·활용 추진전략(이니셔티브)	2025.04.04	과학기술정보통신부 공공융합연구정책관 미래에너지환경기술과	과학기술정보통신부
2025 글로컬대학 지정계획	2025.04.03	교육부 인재정책실 지역인재정책관 지역인재정책과	교육부
준법제보 활성화 방안	2025.04.03	금융감독원 은행검사2국	금융감독원
경제관계장관회의: 2025년 3월 소비자물가 동향 및 주요 특징 등	2025.04.02	기획재정부 정책조정국 정책조정총괄과	기획재정부
동물용의약품 산업 발전 방안	2025.04.02	농림축산식품부 방역정책국 조류인플루엔자방역과	농림축산식품부
실손보험 개혁방안	2025.04.01	금융위원회 보험과	금융위원회
2025년도 금융감독원 회계심사·감리업무 운영계획	2025.03.28	금융감독원 회계감리1국 회계감리총괄팀	금융감독원
은행업무 위탁 활성화 방안	2025.03.28	금융위원회 금융산업국 은행과	금융위원회
제4차 농림식품과학기술육성 종합계획 ('25~'29)	2025.03.28	농림축산식품부 농식품혁신정책관실 과학기술정책과	농림축산식품부
제5차(’25~’29) 농어업인 삶의 질 향상 및 농어촌 지역개발 기본계획	2025.03.27	농림축산식품부 농촌정책국 농촌정책과	농림축산식품부
제2차 국민건강보험 종합계획(’24~’28) ’25년 시행계획(안)	2025.03.27	보건복지부 건강보험정책국 보험정책과	보건복지부
제4차 공급망안정화위원회: ’25년 공급망안정화 시행계획 등	2025.03.25	기획재정부 경제공급망기획관 공급망정책담당관	기획재정부
2025년 조세지출 기본계획	2025.03.25	기획재정부 세제실 조세총괄정책관 조세특례평가팀	기획재정부
2026년도 예산안 편성 및 기금운용계획안 작성지침	2025.03.25	기획재정부 예산실 예산정책과	기획재정부
서비스 R&D 가이드라인 개선방안	2025.03.25	기획재정부 정책조정국 서비스경제과	기획재정부
2026학년도 대학수학능력시험 시행기본계획	2025.03.25	한국교육과정평가원	한국교육과정평가원
디지털화폐 테스트 (프로젝트 한강) 일반 이용자 실거래 실시 계획	2025.03.24	한국은행 디지털화폐기획팀	한국은행
2025년 국립대학육성사업 기본계획	2025.03.21	교육부 인재정책실 지역인재정책관 지역혁신대학지원과	교육부
2025년~2027년 대학혁신지원사업 기본계획	2025.03.21	교육부 인재정책실 지역인재정책관 지역혁신대학지원과	교육부
전문대학 혁신지원사업 3주기(’25~’27) 기본계획	2025.03.21	교육부 인재정책실 지역인재정책관 지역혁신대학지원과	교육부
저축은행 역할 제고방안	2025.03.20	금융위원회 중소금융과	금융위원회
민생경제점검회의: 방한관광 시장 글로벌 성장전략	2025.03.20	기획재정부 대외경제국 APEC재무·구조개혁장관회의추진단	기획재정부
2025년도 교육발전특구 시범지역 운영 추진계획(안)	2025.03.19	교육부 교육자치협력안전국 교육자치협력과	교육부
5대 우주강국 도약을 위한인재양성방안	2025.03.19	교육부 인재정책실 인재정책기획관 인재양성정책과	교육부
대학 - 출연연벽 허물기 추진전략	2025.03.19	교육부 인재정책실 인재정책기획관 인재양성정책과	교육부
주택시장 안정화 방안	2025.03.19	국토교통부 주택토지실 주택정책관 주택정책과	국토교통부
경제규제 개선 과제	2025.03.19	기획재정부 정책조정국 기업환경과	기획재정부
의료개혁 2차 실행방안	2025.03.19	보건복지부 의료개혁추진단 의료개혁총괄과	보건복지부
「신뢰회복」과 「혁신」을 위한 보험개혁종합방안	2025.03.18	금융위원회 금융산업국 보험과	금융위원회
제4차 식생활교육 기본계획	2025.03.18	농림축산식품부 유통소비정책관실 식생활소비정책과	농림축산식품부
디지털 전환 ('25~'27)	2025.03.17	금융감독원 디지털금융총괄국 디지털혁신팀	금융감독원
보험산업 미래대비 방안	2025.03.17	금융위원회 금융산업국 보험과	금융위원회
제6차 지방과학기술진흥 종합계획 '25년 시행계획	2025.03.16	과학기술정보통신부 과학기술정책국 과학기술전략과	과학기술정보통신부
2026년도 국가연구개발 투자방향 및 기준(안)	2025.03.13	과학기술정보통신부 과학기술정책조정과	과학기술정보통신부
제5차 과학기술기본계획 2025년 시행계획 및 제1차 국가연구개발 중장기 투자전략 2025년도 시행계획(안)	2025.03.13	과학기술정보통신부 과학기술정책조정과	과학기술정보통신부
R&D를 넘어 산업화로 퀀텀 이니셔티브 추진전략	2025.03.13	과학기술정보통신부 연구개발정책실 기초원천연구정책관	과학기술정보통신부
민생경제점검회의: 소상공인·자영업자 추가 부담완화 방안	2025.03.13	기획재정부 정책조정국 산업경제과	기획재정부
제1차 국가전략기술 육성 기본계획(’24~’28) ’25년 시행계획	2025.03.12	과학기술정보통신부 과학기술혁신조정관 과학기술정책국	과학기술정보통신부
인공지능+과학기술(AI+S&T<Science & Technology>) 활성화 방안	2025.03.12	과학기술정보통신부 기초원천연구정책관 원천기술과	과학기술정보통신부
복합지원 현장 운영 내실화 방안	2025.03.12	금융위원회 복합지원팀	금융위원회
유산취득세 도입 방안	2025.03.12	기획재정부 조세개혁추진단 상속세개편팀	기획재정부
제1차 하천유역수자원관리계획	2025.03.12	환경부 물관리정책실 수자원정책관 물관리총괄과	환경부
사망보험금 유동화방안	2025.03.11	금융감독원 보험사기대응단	금융감독원
금융·통신 취약계층 재기지원 방안	2025.03.10	과학기술정보통신부 네트워크정책실 통신정책관 통신이용제도과	과학기술정보통신부
2024년 보험사기 적발실적 및 향후 대응방안	2025.03.10	금융감독원 보험사기대응단	금융감독원
제5차 민생경제점검회의: 신학기 교육개혁 상황 점검 및 향후 추진방안	2025.03.10	기획재정부 경제구조개혁국 경제구조개혁총괄과	기획재정부
외환수급 개선을 위한 추가방안	2025.03.09	기획재정부 국제금융국 국제금융과	기획재정부
2025 의학교육 지원방안	2025.03.07	교육부 인재정책실 의대교육지원관 의대교육기반과	교육부
자금세탁방지 관련 2025년도 교육운영방향	2025.03.07	금융위원회 금융정보분석원 제도운영과	금융위원회
제53차 경제관계차관회의 겸 물가관계차관회의 겸 민생경제점검 TF	2025.03.07	기획재정부 경제정책국 정책기획과	기획재정부
2025년 사이버대학 디지털 교육환경 고도화 지원사업 기본계획(안)	2025.03.06	교육부 인재정책실 평생직업교육정책관 평생직업교육기획과	교육부
제30차 외국인정책위원회: 2025년 외국인정책 시행계획, 경제성장과 지역상생을 위한 비자제도 개선 방안, 이민자의 다양한 수요를 반영한 사회통합교육 개선 방안, 외국인 요양보호사 양성·도입방안	2025.03.05	국무조정실	국무조정실
2025년도 보험감독 업무계획	2025.03.05	금융감독원 보험총괄팀	금융감독원
2025년 중소금융 감독 방향 및 추진계획	2025.03.05	금융감독원 중소금융감독국 중소금융총괄팀	금융감독원
국정현안관계장관회의 겸 경제관계장관회의 겸 산업경쟁력강화 관계장관회의: 첨단전략산업기금 신설 방안 등	2025.03.05	기획재정부 정책조정국 정책조정총괄과	기획재정부
